package,date,version,total_dependencies,source
pandas,2016-03-12 15:43:00,0.18.0,3,pypi
pandas,2016-05-05 00:24:25,0.18.1,3,pypi
pandas,2016-10-02 18:47:45,0.19.0,0,pypi
pandas,2016-11-04 08:47:22,0.19.1,0,pypi
pandas,2016-12-24 19:43:04,0.19.2,0,pypi
pandas,2017-05-05 11:43:42,0.20.0,0,pypi
pandas,2017-05-05 20:07:19,0.20.1,0,pypi
pandas,2017-06-05 12:24:15,0.20.2,3,pypi
pandas,2017-07-07 21:39:55,0.20.3,3,pypi
pandas,2017-10-28 18:44:46,0.21.0,3,pypi
pandas,2017-12-13 04:16:33,0.21.1,3,pypi
pandas,2017-12-31 12:37:46,0.22.0,3,pypi
pandas,2018-05-16 02:11:07,0.23.0,3,pypi
pandas,2018-06-13 02:14:42,0.23.1,3,pypi
pandas,2018-07-06 12:23:36,0.23.2,3,pypi
pandas,2018-07-07 20:26:01,0.23.3,3,pypi
pandas,2018-08-04 18:47:17,0.23.4,3,pypi
pandas,2019-01-25 21:13:23,0.24.0,3,pypi
pandas,2019-02-04 03:08:46,0.24.1,3,pypi
pandas,2019-03-14 10:10:10,0.24.2,3,pypi
pandas,2019-07-19 00:08:20,0.25.0,6,pypi
pandas,2019-08-22 19:17:16,0.25.1,6,pypi
pandas,2019-10-19 02:03:22,0.25.2,6,pypi
pandas,2019-11-01 14:45:06,0.25.3,6,pypi
pandas,2020-01-30 11:57:40,1.0.0,6,pypi
pandas,2020-02-05 20:50:35,1.0.1,6,pypi
pandas,2020-03-15 13:58:47,1.0.2,6,pypi
pandas,2020-03-18 17:08:00,1.0.3,6,pypi
pandas,2020-05-29 11:49:40,1.0.4,6,pypi
pandas,2020-06-18 11:30:46,1.0.5,6,pypi
pandas,2020-07-28 18:01:26,1.1.0,6,pypi
pandas,2020-08-20 21:12:02,1.1.1,6,pypi
pandas,2020-09-08 19:49:08,1.1.2,6,pypi
pandas,2020-10-05 19:45:44,1.1.3,6,pypi
pandas,2020-10-30 18:45:41,1.1.4,6,pypi
pandas,2020-12-07 15:07:55,1.1.5,6,pypi
pandas,2020-12-26 16:58:54,1.2.0,6,pypi
pandas,2021-01-20 13:34:07,1.2.1,6,pypi
pandas,2021-02-09 13:20:50,1.2.2,6,pypi
pandas,2021-03-02 12:05:36,1.2.3,6,pypi
pandas,2021-04-12 18:43:31,1.2.4,6,pypi
pandas,2021-06-22 13:41:54,1.2.5,6,pypi
pandas,2021-07-02 11:59:11,1.3.0,6,pypi
pandas,2021-07-25 12:22:25,1.3.1,6,pypi
pandas,2021-08-15 16:14:47,1.3.2,6,pypi
pandas,2021-09-12 13:20:46,1.3.3,6,pypi
pandas,2021-10-29 19:28:27,1.3.4,6,pypi
